,Alley Light Out,Graffiti Removal,Vacant/Abandoned Building
0.0,56,301,11
1.0,1693,13736,85
2.0,3215,18578,206
3.0,1314,13986,119
4.0,1656,21996,140
5.0,1733,21534,153
6.0,2256,28195,174
7.0,1849,18622,169
8.0,628,13586,96
9.0,1070,258,27
10.0,3388,1676,157
11.0,2205,3921,115
12.0,1325,1453,55
13.0,973,5517,44
14.0,2353,25631,196
15.0,5426,20878,325
16.0,3269,34412,315
17.0,3899,5962,277
18.0,1006,2510,85
19.0,4900,41041,711
20.0,1545,12622,214
21.0,2240,37794,405
22.0,4078,63498,660
23.0,5246,14651,2275
24.0,4455,68370,646
25.0,9378,7228,3539
26.0,1711,1553,1774
27.0,1618,2568,1314
28.0,1866,20788,418
29.0,2727,5375,2143
30.0,3830,63777,713
31.0,2403,50211,392
32.0,155,15348,32
33.0,171,3485,43
34.0,567,4361,23
35.0,354,771,212
36.0,219,165,59
37.0,280,414,256
38.0,1222,1099,585
39.0,749,506,169
40.0,538,527,497
41.0,529,1521,68
42.0,1621,866,1233
43.0,4575,1842,1891
44.0,3816,676,1430
45.0,1947,305,499
46.0,4344,5731,2840
47.0,364,123,347
48.0,2643,962,572
49.0,7053,1651,3513
50.0,865,307,374
51.0,1642,3210,626
52.0,3279,10981,341
53.0,5489,1252,2643
54.0,120,85,167
55.0,1741,1780,166
56.0,5751,11616,272
57.0,1312,23690,184
58.0,3348,49612,559
59.0,1643,28949,180
60.0,2206,17394,278
61.0,3061,18454,2651
62.0,2222,17713,147
63.0,2619,36183,672
64.0,5540,3714,148
65.0,4777,15186,278
66.0,4353,19178,2131
67.0,3713,2798,5817
68.0,2366,1751,4101
69.0,3788,983,2489
70.0,5051,9331,517
71.0,6389,1623,2799
72.0,1895,615,170
73.0,4181,496,1120
74.0,1374,796,127
75.0,2572,419,735
76.0,54,727,9
77.0,1567,11797,142
